cfb_season,college,ap_rank,nfl_players,pro_bowls,all_pros,player_list
2002,Miami,2,34,42,7,Andre Johnson|Andrew Williams|Antrel Rolle|Baraka Atkins|Brandon Meriweather|Chris Myers|D.J. Williams|Darrell McClover|Devin Hester|Eric Winston|Frank Gore|Greg Olsen|Jamaal Green|Jerome McDougle|Jon Beason|Jonathan Vilma|Kareem Brown|Kellen Winslow|Kelly Jennings|Ken Dorsey|Kevin Everett|Leon Williams|Marcus Maxey|Matt Walters|Orien Harris|Rashad Butler|Rocky McIntosh|Roscoe Parrish|Sean Taylor|Sinorice Moss|Vernon Carey|Vince Wilfork|William Joseph|Willis McGahee
2002,Georgia,3,21,5,1,Benjamin Watson|Boss Bailey|Bruce Thornton|Charles Johnson|Chris Clemons|David Pollack|George Foster|Greg Blue|Johnathan Sullivan|Kedric Golston|Leonard Pope|Max Jean-Gilles|Musa Smith|Odell Thurman|Quentin Moses|Reggie Brown|Robert Geathers|Sean Jones|Thomas Davis|Tim Jennings|Tony Gilbert
2002,USC,4,25,21,7,Carson Palmer|Darnell Bing|David Kirtman|Deuce Lutui|Dominique Byrd|Dwayne Jarrett|Frostee Rucker|Jacob Rogers|Justin Fargas|Keary Colbert|Kenechi Udeze|LaJuan Ramsey|LenDale White|Lofa Tatupu|Matt Cassel|Matt Leinart|Mike Patterson|Mike Williams|Reggie Bush|Ryan Kalil|Shaun Cody|Steve Smith|Troy Polamalu|Will Poole|Winston Justice
2002,Oklahoma,5,23,14,5,Adrian Peterson|Andre Woolfolk|Antonio Perkins|Brandon Jones|Brodney Pool|C.J. Ah You|Chris Chester|Clint Ingram|Davin Joseph|Derrick Strait|Donte Nicholson|J.D. Runnels|Jammal Brown|Jimmy Wilkerson|Lance Mitchell|Mark Bradley|Mark Clayton|Michael Hawkins|Quentin Griffin|Teddy Lehman|Tommie Harris|Travis Wilson|Wes Sims
2002,Texas,6,24,10,1,Aaron Ross|Bo Scaife|Brian Robison|Cedric Benson|Cedric Griffin|Chris Simms|Cory Redding|Cullen Loeffler|David Thomas|Derrick Dockery|Derrick Johnson|Jonathan Scott|Justin Blalock|Kasey Studdard|Lyle Sendlein|Marcus Tubbs|Michael Griffin|Michael Huff|Nathan Vasher|Rodrique Wright|Roy Williams|Tarell Brown|Tim Crowder|Vince Young
2002,Kansas State,7,10,5,0,Darren Sproles|Jeromey Clary|Melvin Williams|Nick Leckey|Rashad Washington|Taco Wallace|Terence Newman|Terry Pierce|Yamon Figurs|Zach Diles
2002,Iowa,8,17,15,6,Abdul Hodge|Ben Sobieski|Bob Sanders|Bruce Nelson|Chad Greenway|Colin Cole|Dallas Clark|Derek Pagel|Eric Steinbach|Jared Clauss|Jonathan Babineaux|Marshal Yanda|Matt Roth|Nate Kaeding|Robert Gallery|Scott Chandler|Sean Considine
2002,Michigan,9,19,3,0,Alan Branch|B.J. Askew|Bennie Joppru|Braylon Edwards|Cato June|Chris Perry|David Baas|David Harris|Drew Henson|Gabe Watson|Jason Avant|John Navarre|LaMarr Woodley|Leon Hall|Marlin Jackson|Prescott Burgess|Steve Breaston|Tim Massaquoi|Victor Hobson
2002,Washington State,10,10,1,0,Devard Darling|Eric Frampton|Erik Coleman|Hamza Abdullah|Jason David|Jason Hill|Jerome Harrison|Karl Paymah|Marcus Trufant|Rien Long
2002,NC State,11,13,12,1,Jerricho Cotchery|John McCargo|Leroy Harris|Manny Lawson|Marcus Hudson|Mario Williams|Patrick Thomas|Philip Rivers|Scott Kooistra|Sean Locklear|Stephen Tulloch|Tank Tyler|Terrence Holt
